outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.09,central_front,1.6,1.0,-0.1,True,1594.2682040709678,1809.4887156114676,13.499642719520688
0.1,equal,1.1,0.65,-0.3,True,1599.7689102328193,1802.5241742577093,12.674034526360579
0.1,equal,1.1,0.65,-0.18,True,1599.7689102328193,1801.4765700794553,12.608549807189394
0.1,equal,1.1,0.65,-0.1,True,1599.4668156684136,1801.4765700794553,12.62981841399582
0.1,equal,1.1,0.8,-0.3,True,1601.8917385776842,1814.5054869149894,13.272666511538688
0.1,equal,1.1,0.8,-0.18,True,1601.6840880205386,1815.2391288737988,13.33315617296198
0.1,equal,1.1,0.8,-0.1,True,1601.6840880205386,1815.1047736262785,13.324767799216787
0.1,equal,1.1,1.0,-0.3,True,1604.5351001047447,1831.9336266398238,14.172237585842428
0.1,equal,1.1,1.0,-0.18,True,1604.3696562168057,1830.2420998131697,14.078578631871164
0.1,equal,1.1,1.0,-0.1,True,1604.3716766569019,1829.7945952535665,14.050542145345535
0.1,equal,1.35,0.65,-0.3,True,1599.7689102328193,1802.5241742577093,12.674034526360579
0.1,equal,1.35,0.65,-0.18,True,1599.7689102328193,1803.047822374824,12.706767261305307
0.1,equal,1.35,0.65,-0.1,True,1599.4668156684136,1801.4765700794553,12.62981841399582
0.1,equal,1.35,0.8,-0.3,True,1602.094331133892,1814.6019774955535,13.264365414192426
0.1,equal,1.35,0.8,-0.18,True,1601.9193282489184,1815.639358725156,13.341497708867657
0.1,equal,1.35,0.8,-0.1,True,1601.6840880205386,1815.9637714497492,13.378398713695837
0.1,equal,1.35,1.0,-0.3,True,1604.9959011005008,1833.107972791765,14.212626433179931
0.1,equal,1.35,1.0,-0.18,True,1604.3696562168057,1832.5637690533927,14.223287753688997
0.1,equal,1.35,1.0,-0.1,True,1604.3716766569019,1832.4832203963122,14.218123335032695
0.1,equal,1.6,0.65,-0.3,True,1600.2650537114262,1803.77810599114,12.717459011412814
0.1,equal,1.6,0.65,-0.18,True,1599.7689102328193,1803.047822374824,12.706767261305307
0.1,equal,1.6,0.65,-0.1,True,1599.7689102328193,1803.047822374824,12.706767261305307
0.1,equal,1.6,0.8,-0.3,True,1602.094331133892,1817.3500308101302,13.435894222526201
0.1,equal,1.6,0.8,-0.18,True,1601.9193282489184,1815.73584930572,13.347521144558971
0.1,equal,1.6,0.8,-0.1,True,1601.6840880205386,1816.372506788788,13.403917812130771
0.1,equal,1.6,1.0,-0.3,True,1605.1788048732926,1834.3586038176804,14.277524612747339
0.1,equal,1.6,1.0,-0.18,True,1605.2844750425536,1833.703560275857,14.229196680373324
0.1,equal,1.6,1.0,-0.1,True,1604.7912339966279,1833.3851333020145,14.244463358395132
0.1,weak_front,1.1,0.65,-0.3,True,1600.6731059705032,1803.6014115874384,12.677685709843779
0.1,weak_front,1.1,0.65,-0.18,True,1600.6731059705032,1803.047822374824,12.643100933567508
0.1,weak_front,1.1,0.65,-0.1,True,1600.1769624918963,1803.047822374824,12.678026533203202
0.1,weak_front,1.1,0.8,-0.3,True,1602.121920805126,1815.1435578857092,13.296218865386479
0.1,weak_front,1.1,0.8,-0.18,True,1602.121920805126,1814.1402377499123,13.233594409484105
0.1,weak_front,1.1,0.8,-0.1,True,1602.2962730957786,1815.1953995344895,13.287126108542392
0.1,weak_front,1.1,1.0,-0.3,True,1606.6995428529033,1830.4767173208704,13.927754909957946
0.1,weak_front,1.1,1.0,-0.18,True,1606.162077803617,1829.8403610571906,13.92625852301579
0.1,weak_front,1.1,1.0,-0.1,True,1606.2119781217807,1830.374875925708,13.955997144664023
0.1,weak_front,1.35,0.65,-0.3,True,1600.6731059705032,1804.420112004651,12.728832968716253
0.1,weak_front,1.35,0.65,-0.18,True,1600.6731059705032,1803.6014115874384,12.677685709843779
0.1,weak_front,1.35,0.65,-0.1,True,1600.1769624918963,1805.034254877358,12.802164834722095
0.1,weak_front,1.35,0.8,-0.3,True,1602.563673504047,1816.2199722807227,13.332156613129165
0.1,weak_front,1.35,0.8,-0.18,True,1602.121920805126,1814.3841758634392,13.248820348930979
0.1,weak_front,1.35,0.8,-0.1,True,1602.3790192328586,1815.3210923442118,13.289120149195387
0.1,weak_front,1.35,1.0,-0.3,True,1607.0224723003635,1831.9810815116766,13.998473144516609
0.1,weak_front,1.35,1.0,-0.18,True,1606.7851267117287,1831.1534690937328,13.963805032298993
0.1,weak_front,1.35,1.0,-0.1,True,1606.6910809380847,1831.6970990066193,14.004311142199288
0.1,weak_front,1.6,0.65,-0.3,True,1601.003579277584,1806.238061582873,12.819114520524444
0.1,weak_front,1.6,0.65,-0.18,True,1600.6731059705032,1804.420112004651,12.728832968716253
0.1,weak_front,1.6,0.65,-0.1,True,1600.6731059705032,1807.4633646232803,12.918956274173055
0.1,weak_front,1.6,0.8,-0.3,True,1602.6552302836246,1816.5822035814535,13.348284101002172
0.1,weak_front,1.6,0.8,-0.18,True,1602.121920805126,1816.771713409331,13.397843810559396
0.1,weak_front,1.6,0.8,-0.1,True,1602.4988656519863,1816.3383174406067,13.344125002024176
0.1,weak_front,1.6,1.0,-0.3,True,1607.921174964162,1833.9230107543224,14.055529543927904
0.1,weak_front,1.6,1.0,-0.18,True,1607.3934141799355,1833.4445305813197,14.063210313494512
0.1,weak_front,1.6,1.0,-0.1,True,1607.4528961795581,1832.7028164113096,14.012847329281254
0.1,central_front,1.1,0.65,-0.3,True,1602.031313366171,1807.0485953403893,12.79733300240169
0.1,central_front,1.1,0.65,-0.18,True,1601.0500508173634,1806.3096549924062,12.820311524318328
